rs                       \eta                     K                        f_r                      f_p                      AUC                      AUPR                                                                                                                                               
6.999999999999999556e-01 5.000000000000000000e-01 3.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.530738874347649547e-01 5.707317650767076422e-01
6.999999999999999556e-01 5.000000000000000000e-01 5.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.552732480364511947e-01 5.806398660092854103e-01
6.999999999999999556e-01 5.000000000000000000e-01 1.000000000000000000e+01 3.000000000000000000e+02 5.000000000000000000e+02 9.546667671318660453e-01 5.732389534263174768e-01
6.999999999999999556e-01 5.999999999999999778e-01 3.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.514261739304061827e-01 5.714624013397568980e-01
6.999999999999999556e-01 5.999999999999999778e-01 5.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.550391682616953259e-01 5.852948682393742663e-01
6.999999999999999556e-01 5.999999999999999778e-01 1.000000000000000000e+01 3.000000000000000000e+02 5.000000000000000000e+02 9.556071001726230696e-01 5.841526045647793541e-01
6.999999999999999556e-01 6.999999999999999556e-01 3.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.501695918707152577e-01 5.717165895365308170e-01
6.999999999999999556e-01 6.999999999999999556e-01 5.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.541148682647002666e-01 5.923157721915981444e-01
6.999999999999999556e-01 6.999999999999999556e-01 1.000000000000000000e+01 3.000000000000000000e+02 5.000000000000000000e+02 9.561181693319920072e-01 5.921008488246795043e-01
8.000000000000000444e-01 5.000000000000000000e-01 3.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.520846030924221548e-01 5.680412346133968393e-01
8.000000000000000444e-01 5.000000000000000000e-01 5.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.554555719984511031e-01 5.812842420272008592e-01
8.000000000000000444e-01 5.000000000000000000e-01 1.000000000000000000e+01 3.000000000000000000e+02 5.000000000000000000e+02 9.547775651148493470e-01 5.740340355615548562e-01
8.000000000000000444e-01 5.999999999999999778e-01 3.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.504311469746065111e-01 5.694549627231124678e-01
8.000000000000000444e-01 5.999999999999999778e-01 5.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.548645072759146535e-01 5.848988679800461998e-01
8.000000000000000444e-01 5.999999999999999778e-01 1.000000000000000000e+01 3.000000000000000000e+02 5.000000000000000000e+02 9.559145971071070225e-01 5.843870090622726998e-01
8.000000000000000444e-01 6.999999999999999556e-01 3.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.491221392023936332e-01 5.714981128939236044e-01
8.000000000000000444e-01 6.999999999999999556e-01 5.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.533123483951311261e-01 5.896788266130164047e-01
8.000000000000000444e-01 6.999999999999999556e-01 1.000000000000000000e+01 3.000000000000000000e+02 5.000000000000000000e+02 9.564357321647384280e-01 5.924061858072368070e-01
5.999999999999999778e-01 5.000000000000000000e-01 3.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.529132569534730646e-01 5.725495799850419676e-01
5.999999999999999778e-01 5.000000000000000000e-01 5.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.546886806668180014e-01 5.786350928446053477e-01
5.999999999999999778e-01 5.000000000000000000e-01 1.000000000000000000e+01 3.000000000000000000e+02 7.000000000000000000e+02 9.540850293286551320e-01 5.746857983020779992e-01
